tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
eletrônico,Boa Vista,Centro,Av. Conde da Boa Vista,867 - URB,URB,-8.0583029,-34.888518
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Rua Visc. de Jequitinhonha,2674,Ecoponto,-8.136264,-34.903703
eletrônico,Curado,Sudoeste,Rodovia BR 232,s/n,Jardim Botânico do Recife,-8.076071,-34.966706
eletrônico,Areias,Sudoeste,Av. Recife,3587 - Próximo ao Hospital Geral de Areias,EMLURB,-8.1020216,-34.927986
eletrônico,Beberibe,Norte,Rua Melânio de Barros Correia,26,ESCOLA PROFISSIONALIZANTE DE BEBERIBE ZULEIDE GOMES MONTEIRO,-8.0030577,-34.899059
eletrônico,Casa Amarela,Noroeste,Av. Norte Miguel Arraes,5600,ESCOLA PROFISSIONAL DOM BOSCO,-8.0215479,-34.916639
eletrônico,Totó,Sudoeste,Av 11 de Agosto,Bidu Krause,ESCOLA PROFISSIONAL ANEXA AO CSU BIDU KRAUSE,-8.0797775,-34.970345
pilhas e baterias,Casa Forte,Noroeste,Dr. João Santos Filho,255,Shopping Plaza no estacionamento do térreo,-8.036359,-34.913042
pilhas e baterias,Boa Viagem,Sul,Rua Padre Carapuceiro,777,Nagem Informática,-8.120844,-34.904384
pilhas e baterias,Casa Forte,Noroeste,Praça Jorn. Francisco P. Queiroz,310,Hiper Bompreço de Casa Forte,-8.037597,-34.91375
pilhas e baterias,Casa Amarela,Noroeste,Av. Norte Miguel Arraes de Alencar,6061,Deskontão Atacadista,-8.021132,-34.919673
pilhas e baterias,Iputinga,Oeste,Av. Prof. Moraes Rego,1235,Universidade Federal de Pernambuco - UFPE,-8.052328,-34.945095
"metal,isopor,papel,plastico,vidro",Imbiribeira,Sul,Rua Nova Verona,Praça da Academia da Cidade/Lagoa do Araçá,Ecoponto,-8.096588,-34.915461
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Av. Barão de Souza Leão,Posto Tiradentes/BR.,Ecoponto,-8.132921,-34.912598
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Rua Marques de Valença,Lateral da Igreja Matriz de Boa Viagem,Ecoponto,-8.131763,-34.900649
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Av. Boa Viagem,Parque Dona Lindú,Ecoponto,-8.140939,-34.903304
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Rua Dr. Nilo Dornelas Câmara,Praça de Boa Viagem (calçada voltada para  a praia),Ecoponto,-8.132314,-34.900105
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Curado,Sudoeste,Rua Nelson de Sena,Em frente do : INST de Desenvol Econômico Social Produtivo,EcoEstação Totó,-8.077703,-34.971841
"metal,isopor,papel,plastico,vidro",Tejipió,Sudoeste,AV. Liberdade,Em frente do portão Cemitério Parque das Flores,Ecoponto,-8.082139,-34.960278
"metal,isopor,papel,plastico,vidro",Tejipió,Sudoeste,AV. Dr. José Rufino,Saída da Estação Tejipió,Ecoponto,-8.090814,-34.957087
